,Game Title,Platform
1412,Resident Evil: Operation Raccoon City,PlayStation 3
1413,Starpoint Gemini,PC
1414,Ninja Gaiden 3,Xbox 360
1415,Kid Icarus: Uprising,3DS
1416,Warp,PC
1417,Yakuza: Dead Souls,PlayStation 3
1418,Armored Core V,Xbox 360
1419,Armored Core V,PlayStation 3
1420,Angry Birds Space,iOS (iPhone/iPad)
1421,Angry Birds Space,Android
1422,Ninja Gaiden 3,PlayStation 3
1423,Sumioni: Demon Arts,PlayStation Vita
1424,Sine Mora,Xbox 360
1425,Ridge Racer Unbounded,Xbox 360
1426,Ridge Racer Unbounded,PlayStation 3
1427,Tiger Woods PGA Tour 13,Xbox 360
1428,Yesterday,PC
1429,South Park: Tenorman's Revenge,Xbox 360
1430,Tiger Woods PGA Tour 13,PlayStation 3
1431,Kinect Star Wars,Xbox 360
1432,Ridge Racer Unbounded,PC
1433,Skullgirls: Encore,PlayStation 3
1434,Gettysburg: Armored Warfare,PC
1435,Skullgirls: Encore,Xbox 360
1436,Fez,Xbox 360
1437,Anomaly: Warzone Earth,Xbox 360
1438,World Gone Sour,PlayStation 3
1439,World Gone Sour,Xbox 360
1440,The Witcher 2: Assassins of Kings,Xbox 360
1441,Botanicula,PC
1442,Pandora's Tower,Wii
1443,Confrontation,PC
1444,Legend of Grimrock,PC
1445,LEGO Harry Potter: Years 5-7,PlayStation Vita
1446,Tribes: Ascend,PC
1447,Men of War: Condemned Heroes,PC
1448,Naval War: Arctic Circle,PC
1449,Phantom Breaker,Xbox 360
1450,Superbrothers: Sword & Sworcery EP,PC
1451,FIFA Soccer 12,PlayStation 3
1452,FIFA Soccer 12,Xbox 360
1453,Tales of Graces F,PlayStation 3
1454,Trials Evolution,Xbox 360
1455,Prototype 2,Xbox 360
1456,Prototype 2,PlayStation 3
1457,The Walking Dead: A Telltale Games Series,PC
1458,The Walking Dead: A Telltale Games Series,PlayStation 3
1459,Bloodforge,Xbox 360
1460,Mortal Kombat (2011),PlayStation Vita
1461,The Walking Dead: A Telltale Games Series,Xbox 360
1462,Fable Heroes,Xbox 360
1463,Sniper Elite V2,PC
1464,Sniper Elite V2,Xbox 360
1465,Risen 2: Dark Waters,PC
1466,Lone Survivor,PC
1467,Fireburst,PC
1468,A Valley Without Wind,PC
1469,Revelations 2012,PC
1470,Starhawk,PlayStation 3
1471,Minecraft,Xbox 360
1472,Street Fighter X Tekken,PC
1473,Datura,PlayStation 3
1474,Awesomenauts,Xbox 360
1475,Port Royale 3: Pirates and Merchants,PC
1476,Mario Tennis Open,3DS
1477,Max Payne 3,Xbox 360
1478,Max Payne 3,PlayStation 3
1479,Akai Katana Shin,Xbox 360
1480,TERA,PC
1481,Game of Thrones,Xbox 360
1482,Warlock: Master of the Arcane,PC
1483,Game of Thrones,PlayStation 3
1484,Sonic the Hedgehog 4: Episode II,Xbox 360
1485,Tom Clancy's Ghost Recon: Future Soldier,Xbox 360
1486,Sonic the Hedgehog 4: Episode II,PlayStation 3
1487,Sonic the Hedgehog 4: Episode II,PC
1488,Diablo III,PC
1489,DiRT Showdown,Xbox 360
1490,Resident Evil: Operation Raccoon City,PC
1491,Battleship (2012),Xbox 360
1492,Dragon's Lair,Xbox 360
1493,Combat Carnage,PC
1494,Resistance: Burning Skies,PlayStation Vita
1495,Dragon's Dogma,Xbox 360
1496,Dragon's Dogma,PlayStation 3
1497,Doctor Who: The Eternity Clock,PlayStation 3
1498,Mad Riders,Xbox 360
1499,Batman: Arkham City,Xbox 360
1500,Alan Wake's American Nightmare,PC
1501,DiRT Showdown,PlayStation 3
1502,Sorcery,PlayStation 3
1503,Men in Black: Alien Crisis,Xbox 360
1504,Men in Black: Alien Crisis,PlayStation 3
1505,Shifting World,3DS
1506,Inversion,Xbox 360
1507,World of Battles: Morningstar,PC
1508,Iron Front: Liberation 1944,PC
1509,Atelier Meruru: The Apprentice of Arland,PlayStation 3
1510,Home,PC
1511,Gravity Rush,PlayStation Vita
1512,Babel Rising,Xbox 360
1513,Virtua Fighter 5: Final Showdown,Xbox 360
1514,Virtua Fighter 5: Final Showdown,PlayStation 3
1515,Lollipop Chainsaw,Xbox 360
1516,Max Payne 3,PC
1517,Lollipop Chainsaw,PlayStation 3
1518,Velocity,PSP
1519,Steel Battalion: Heavy Armor,Xbox 360
1520,Pokemon Conquest,DS
1521,Sid Meier's Civilization V,PC
1522,Quantum Conundrum,PC
1523,LEGO Batman 2: DC Super Heroes,Xbox 360
1524,The Amazing Spider-Man,Xbox 360
1525,LEGO Batman 2: DC Super Heroes,PlayStation 3
1526,Deponia,PC
1527,The Amazing Spider-Man,PlayStation 3
1528,Spec Ops: The Line,Xbox 360
1529,Spec Ops: The Line,PlayStation 3
1530,Metal Gear Solid HD Collection,PlayStation Vita
1531,Penny Arcade Adventures: Episode Three,PC
1532,Thomas Was Alone,PC
1533,Spec Ops: The Line,PC
1534,Sins of a Solar Empire: Rebellion,PC
1535,Theatrhythm Final Fantasy,3DS
1536,The Walking Dead: A Telltale Games Series,Xbox 360
1537,Resonance,PC
1538,Tom Clancy's Ghost Recon: Future Soldier,PC
1539,The Elder Scrolls V: Skyrim,Xbox 360
1540,Spelunky,Xbox 360
1541,Krater,PC
1542,Project Zero 2: Wii Edition,Wii
1543,Dungeon Twister,PlayStation 3
1544,Endless Space,PC
1545,NCAA Football 13,Xbox 360
1546,Test Drive: Ferrari Racing Legends,Xbox 360
1547,The Secret World,PC
1548,Fray (2011),PC
1549,Hoodwink,PC
1550,London 2012 - The Official Video Game of the Olympic Games,Xbox 360
1551,London 2012 - The Official Video Game of the Olympic Games,PlayStation 3
1552,Quantum Conundrum,Xbox 360
1553,Quantum Conundrum,PlayStation 3
1554,The Dark Eye: Chains of Satinav,PC
1555,The Walking Dead: A Telltale Games Series,PC
1556,The Walking Dead: A Telltale Games Series,PlayStation 3
1557,Tony Hawk's Pro Skater HD,Xbox 360
1558,Dyad (2012),PlayStation 3
1559,Heroes of Ruin,3DS
1560,SpellForce 2: Faith in Destiny,PC
1561,Wreckateer,Xbox 360
1562,Kingdom Hearts 3D: Dream Drop Distance,3DS
1563,Prototype 2,PC
1564,ORC: Vengeance,iOS (iPhone/iPad)
1565,Deadlight,Xbox 360
1566,Growlanser: Wayfarer of Time,PSP
1567,Rainbow Moon,PlayStation 3
1568,The Political Machine 2012,PC
1569,Orcs Must Die! 2,PC
1570,The Expendables 2 Videogame,PlayStation 3
1571,New Super Mario Bros. 2,3DS
1572,Persona 4 Arena,Xbox 360
1573,Persona 4 Arena,PlayStation 3
1574,Awesomenauts,PC
1575,7554,PC
1576,Sound Shapes,PlayStation 3
1577,Rigonauts,PC
1578,Sound Shapes,PlayStation Vita
1579,Death Rally (2012),PC
1580,Hybrid (2012),Xbox 360
1581,Darksiders II,Xbox 360
1582,Sleeping Dogs,PlayStation 3
1583,Darksiders II,PlayStation 3
1584,Symphony (2012),PC
1585,Sleeping Dogs,Xbox 360
1586,Sleeping Dogs,PC
1587,Dust: An Elysian Tail,Xbox 360
1588,Papo & Yo,PlayStation 3
1589,Kung Fu Strike: The Warrior's Rise,Xbox 360
1590,Darksiders II,PC
1591,Legends of Pegasus,PC
1592,Retro/Grade,PlayStation 3
1593,Transformers: Fall of Cybertron,Xbox 360
1594,Transformers: Fall of Cybertron,PlayStation 3
1595,Unmechanical,PC
1596,Transformers: Fall of Cybertron,PC
1597,Madden NFL 13,Xbox 360
1598,Bullet Run,PC
1599,Madden NFL 13,PlayStation 3
1600,Rock Band Blitz,Xbox 360
1601,JoJo's Bizarre Adventure HD Ver.,Xbox 360
1602,JoJo's Bizarre Adventure HD Ver.,PlayStation 3
1603,Galaxy On Fire 2 Full HD,PC
1604,The Walking Dead: A Telltale Games Series,PlayStation 3
1605,Tom Clancy's Ghost Recon Phantoms,PC
1606,Madden NFL 13,PlayStation Vita
1607,Counter-Strike: Global Offensive,PC
1608,Mass Effect 3,Xbox 360
1609,AVSEQ,PC
1610,Counter-Strike: Global Offensive,Xbox 360
1611,Counter-Strike: Global Offensive,PlayStation 3
1612,Anarchy Reigns,Xbox 360
1613,Legasista,PlayStation 3
1614,Way of the Samurai 4,PlayStation 3
1615,Mark of the Ninja,Xbox 360
1616,Snapshot,PC
1617,Dark Souls,PC
1618,They Bleed Pixels,PC
1619,Guild Wars 2,PC
1620,Tekken Tag Tournament 2,PlayStation 3
1621,NHL 13,Xbox 360
1622,NHL 13,PlayStation 3
1623,Tiny Troopers,PC
1624,Double Dragon: Neon,Xbox 360
1625,Double Dragon: Neon,PlayStation 3
1626,Joe Danger 2: The Movie,Xbox 360
1627,The Sims 3,PC
1628,Jet Set Radio,Xbox 360
1629,Closure,PC
1630,FTL: Faster Than Light,PC
1631,Borderlands 2,Xbox 360
1632,Tokyo Jungle,PlayStation 3
1633,LittleBigPlanet PS Vita,PlayStation Vita
1634,Pro Evolution Soccer 2013,Xbox 360
1635,F1 2012,Xbox 360
1636,F1 2012,PC
1637,Pro Evolution Soccer 2013,PlayStation 3
1638,Shad'O,PC
1639,Borderlands 2,PlayStation 3
1640,Transcripted,PC
1641,Borderlands 2,PC
1642,Dead or Alive 5,PlayStation 3
1643,Torchlight II,PC
1644,Dead or Alive 5,Xbox 360
1645,Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3
1646,Damage Inc.: Pacific Squadron WWII,Xbox 360
1647,Resident Evil 6,Xbox 360
1648,Hell Yeah! Wrath of the Dead Rabbit,Xbox 360
1649,FIFA Soccer 13,Xbox 360
1650,FIFA Soccer 13,PlayStation 3
1651,Tryst,PC
1652,The Testament of Sherlock Holmes,PC
1653,Resident Evil 6,PlayStation 3
1654,Pokemon Black/White Version 2,DS
1655,Hero Academy,PC
1656,One Piece: Pirate Warriors,PlayStation 3
1657,Pokemon Black/White Version 2,DS
1658,Realms of Ancient War,Xbox 360
1659,FIFA Soccer 13,PlayStation Vita
1660,NiGHTS Into Dreams...,Xbox 360
1661,NBA Baller Beats,Xbox 360
1662,War of the Roses,PC
1663,Dishonored,PlayStation 3
1664,Dishonored,Xbox 360
1665,Dishonored,PC
1666,XCOM: Enemy Unknown,PC
1667,XCOM: Enemy Unknown,Xbox 360
1668,Dragon Ball Z for Kinect,Xbox 360
1669,XCOM: Enemy Unknown,PlayStation 3
1670,WRC 3: FIA World Rally Championship,PC
1671,Fable: The Journey,Xbox 360
1672,The Walking Dead: A Telltale Games Series,PlayStation 3
1673,Forza Horizon,Xbox 360
1674,Professor Layton and the Miracle Mask,3DS
1675,NBA 2K13,Xbox 360
1676,NBA 2K13,PlayStation 3
1677,Inazuma Eleven Strikers,Wii
1678,Retro City Rampage,PC
1679,The Walking Dead: A Telltale Games Series,PC
1680,The Walking Dead: A Telltale Games Series,Xbox 360
1681,Retro City Rampage,PlayStation 3
1682,Warlords (2011),PlayStation 3
1683,The Unfinished Swan,PlayStation 3
1684,Dance Central 3,Xbox 360
1685,Naughty Bear: Panic in Paradise,Xbox 360
1686,Derrick the Deathfin,PlayStation 3
1687,Borderlands 2,Xbox 360
1688,Mugen Souls,PlayStation 3
1689,Liberation Maiden,3DS
1690,007 Legends,Xbox 360
1691,007 Legends,PlayStation 3
1692,Happy Wars,Xbox 360
1693,Silent Hill: Book of Memories,PlayStation Vita
1694,Just Dance 4,Xbox 360
1695,Just Dance 4,PlayStation 3
1696,Just Dance 4,Wii
1697,World of Warcraft,PC
1698,Zero Escape: Virtue's Last Reward,PlayStation Vita
1699,Football Manager 2013,PC
1700,Lucius,PC
1701,Painkiller: Hell & Damnation,PC
1702,Medal of Honor: Warfighter,PC
1703,Medal of Honor: Warfighter,Xbox 360
1704,Hotline Miami,PC
1705,Zombie Driver HD,Xbox 360
1706,Assassin's Creed III,Xbox 360
1707,Need for Speed: Most Wanted - A Criterion Game,Xbox 360
1708,Need for Speed: Most Wanted - A Criterion Game,PlayStation 3
1709,WWE '13,Xbox 360
1710,Zone of the Enders HD Collection,Xbox 360
1711,Assassin's Creed III: Liberation,PlayStation Vita
1712,Halo 4,Xbox 360
1713,LittleBigPlanet Karting,PlayStation 3
1714,Zone of the Enders HD Collection,PlayStation 3
1715,Super Monkey Ball: Banana Splitz,PlayStation Vita
1716,Code of Princess,3DS
1717,Wonderbook: Book of Spells,PlayStation 3
1718,Pid,Xbox 360
1719,Pid,PC
1720,Zero Escape: Virtue's Last Reward,3DS
1721,Primal Carnage,PC
1722,Paper Mario: Sticker Star,3DS
1723,F1 Race Stars,Xbox 360
1724,F1 Race Stars,PlayStation 3
1725,F1 Race Stars,PC
1726,Call of Duty: Black Ops II,Xbox 360
1727,Of Orcs and Men,PC
1728,Natural Selection 2,PC
1729,Call of Duty: Black Ops II,PlayStation 3
1730,ZombiU,Wii U
1731,Call of Duty: Black Ops II,PC
1732,New Super Mario Bros. U,Wii U
1733,Disney Epic Mickey 2: The Power of Two,PlayStation 3
1734,Hitman: Absolution,Xbox 360
1735,Ninja Gaiden 3: Razor's Edge,Wii U
1736,Nintendo Land,Wii U
1737,Karateka (2012),Xbox 360
1738,PlayStation All-Stars Battle Royale,PlayStation 3
1739,SiNG Party,Wii U
1740,Darksiders II,Wii U
1741,PlayStation All-Stars Battle Royale,PlayStation Vita
1742,LEGO The Lord of the Rings,Xbox 360
1743,Elemental: Fallen Enchantress,PC
1744,Sonic & All-Stars Racing Transformed,Xbox 360
1745,The Walking Dead: A Telltale Games Series,Xbox 360
1746,Sonic & All-Stars Racing Transformed,Wii U
1747,Ravaged,PC
1748,Persona 4 Golden,PlayStation Vita
1749,Sonic & All-Stars Racing Transformed,PlayStation 3
1750,The Walking Dead: A Telltale Games Series,PlayStation 3
1751,The Walking Dead: A Telltale Games Series,PC
1752,Batman: Arkham City,Wii U
1753,Tank! Tank! Tank!,Wii U
1754,Disney Epic Mickey: The Power of Illusion,3DS
1755,Mass Effect 3,Wii U
1756,Assassin's Creed III,Wii U
1757,Call of Duty: Black Ops Declassified,PlayStation Vita
1758,Call of Duty: Black Ops II,Wii U
1759,FIFA Soccer 13,Wii U
1760,Scribblenauts Unlimited,Wii U
1761,Far Cry 3,Xbox 360
1762,Far Cry 3,PC
1763,Mass Effect 3,Xbox 360
1764,XCOM: Enemy Unknown,PC
1765,Ratchet & Clank: Full Frontal Assault,PlayStation 3
1766,Far Cry 3,PlayStation 3
1767,Baldur's Gate: Enhanced Edition,PC
1768,Guardians of Middle-Earth,Xbox 360
1769,Trine 2,Wii U
1770,PlanetSide 2,PC
1771,Black Knight Sword,PlayStation 3
1772,Miasmata,PC
1773,Chaos on Deponia,PC
1774,FORGE (2012),PC
1775,Little Inferno,Wii U
1776,DmC: Devil May Cry,Xbox 360
1777,Kentucky Route Zero - Act I,PC
1778,Cart Life,PC
1779,DmC: Devil May Cry,PC
1780,DmC: Devil May Cry,PlayStation 3
1781,Infestation: Survivor Stories (The War Z),PC
1782,Earth Defense Force 2017 Portable,PlayStation Vita
1783,The Cave,Xbox 360
1784,Ni no Kuni: Wrath of the White Witch,PlayStation 3
1785,Corpse Party: Book of Shadows,PSP
1786,Strike Suit Zero,PC
1787,Skulls of the Shogun,Xbox 360
1788,Antichamber,PC
1789,Fire Emblem: Awakening,3DS
1790,Dead Space 3,Xbox 360
1791,Dead Space 3,PlayStation 3
1792,Sly Cooper: Thieves in Time,PlayStation 3
1793,Retrovirus,PC
1794,Aliens: Colonial Marines,PC
1795,Aliens: Colonial Marines,Xbox 360
1796,Omerta: City of Gangsters,PC
1797,Akaneiro: Demon Hunters,PC
1798,Proteus,PC
1799,Anodyne,PC
1800,Metal Gear Rising: Revengeance,PC
1801,Metal Gear Rising: Revengeance,Xbox 360
1802,Metal Gear Rising: Revengeance,PlayStation 3
1803,Crysis 3,PC
1804,Crysis 3,PlayStation 3
1805,Crysis 3,Xbox 360
1806,Assassin's Creed III,Xbox 360
1807,Oozi: Earth Adventure,PC
1808,Tomb Raider,Xbox 360
1809,Brutal Legend,PC
1810,The Bridge,PC
1811,Castlevania: Lords of Shadow - Mirror of Fate,3DS
1812,Sniper Elite: Nazi Zombie Army,PC
1813,A Valley Without Wind 2,PC
1814,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Wii U
1815,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PC
1816,God of War: Ascension,PlayStation 3
1817,March of the Eagles,PC
1818,Impire,PC
1819,SimCity,PC
1820,Mass Effect 3,Xbox 360
1821,Naruto Shippuden: Ultimate Ninja Storm 3,Xbox 360
1822,Naruto Shippuden: Ultimate Ninja Storm 3,PlayStation 3
1823,MLB 13: The Show,PlayStation 3
1824,MLB 13: The Show,PlayStation Vita
1825,MLB 2K13,PlayStation 3
1826,MLB 2K13,Xbox 360
1827,Tomb Raider,PlayStation 3
1828,Tomb Raider,PC
1829,LEGO City Undercover,Wii U
1830,Wizardry Online,PC
1831,Monster Hunter 3 Ultimate,3DS
1832,Monster Hunter 3 Ultimate,Wii U
1833,Darkstalkers Resurrection,Xbox 360
1834,BioShock Infinite,Xbox 360
1835,Etrian Odyssey IV: Legends of the Titan,3DS
1836,Sniper: Ghost Warrior 2,PC
1837,Sniper: Ghost Warrior 2,Xbox 360
1838,Sniper: Ghost Warrior 2,PlayStation 3
1839,Dead Space 3,Xbox 360
1840,Starcraft II: Heart of the Swarm,PC
1841,Gears of War: Judgment,Xbox 360
1842,Giana Sisters: Twisted Dreams,Xbox 360
1843,DmC: Devil May Cry,Xbox 360
1844,Luigi's Mansion: Dark Moon,3DS
1845,BioShock Infinite,Xbox 360
1846,BioShock Infinite,PC
1847,BioShock Infinite,PlayStation 3
1848,WRC Powerslide,Xbox 360
1849,The Walking Dead: Survival Instinct,PC
1850,The Walking Dead: Survival Instinct,Xbox 360
1851,Starseed Pilgrim,PC
1852,Alien Spidy,Xbox 360
1853,Tiger Woods PGA Tour 14,Xbox 360
1854,Tiger Woods PGA Tour 14,PlayStation 3
1855,Army of Two: The Devil's Cartel,Xbox 360
1856,HarmoKnight,3DS
1857,Army of Two: The Devil's Cartel,PlayStation 3
1858,Shattered Haven,PC
1859,Need for Speed: Most Wanted - A Criterion Game,Wii U
1860,Pokemon Mystery Dungeon: Gates to Infinity,3DS
1861,Assassin's Creed III,PlayStation 3
1862,BattleBlock Theater,Xbox 360
1863,Terraria,PlayStation 3
1864,Terraria,Xbox 360
1865,Guacamelee!,PlayStation 3
1866,Guacamelee!,PlayStation Vita
1867,Sang-Froid: Tales of Werewolves,PC
1868,Evoland,PC
1869,Slender: The Arrival,PC
1870,Injustice: Gods Among Us,Xbox 360
1871,Age of Empires II: The Age of Kings,PC
1872,Injustice: Gods Among Us,PlayStation 3
1873,Papo & Yo,PC
1874,Defiance,PC
1875,Defiance,PlayStation 3
1876,Defiance,Xbox 360
1877,Dead Island: Riptide,PC
1878,Motocross Madness (2013),Xbox 360
1879,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS
1880,ShootMania Storm,PC
1881,Dishonored,Xbox 360
1882,Dishonored,PlayStation 3
1883,Dishonored,PC
1884,Surgeon Simulator 2013,PC
1885,Monaco: What's Yours Is Mine,Xbox 360
1886,Dragon's Dogma,Xbox 360
1887,Assassin's Creed III,Xbox 360
1888,Dead Island: Riptide,Xbox 360
1889,Dead Island: Riptide,PlayStation 3
1890,God Mode,PC
1891,Thomas Was Alone,PlayStation 3
1892,Far Cry 3: Blood Dragon,Xbox 360
1893,Far Cry 3: Blood Dragon,PC
1894,Thomas Was Alone,PlayStation Vita
1895,Far Cry 3: Blood Dragon,PlayStation 3
1896,Star Trek The Video Game,PC
1897,Don't Starve,PC
1898,Soul Sacrifice,PlayStation Vita
1899,Rise of Immortals: Battle for Graxia,PC
1900,Deadly Premonition,PlayStation 3
1901,Zeno Clash II,PC
1902,Leviathan: Warships,PC
1903,Strike Suit Infinity,PC
1904,Poker Night 2,Xbox 360
1905,Metro: Last Light,PC
1906,StarDrive (2012),PC
1907,Eador: Masters of the Broken World,PC
1908,Metro: Last Light,PlayStation 3
1909,Metro: Last Light,Xbox 360
1910,Donkey Kong Country Returns,3DS
1911,Call of Juarez: Gunslinger,Xbox 360
1912,Might & Magic: Heroes VI,PC
1913,Anomaly 2,PC
1914,Star Wars: The Old Republic,PC
1915,Thunder Wolves,PC
1916,Resident Evil: Revelations,Wii U
1917,Resident Evil: Revelations,Xbox 360
1918,Resident Evil: Revelations,PlayStation 3
1919,Resident Evil: Revelations,PC
1920,Sanctum 2,PC
1921,Sanctum 2,Xbox 360
1922,Fuse,Xbox 360
1923,Fuse,PlayStation 3
1924,Renaissance Heroes,PC
1925,The Swapper,PC
1926,GRID 2,Xbox 360
1927,CastleStorm,Xbox 360
1928,The Denpa Men 2: Beyond The Waves,3DS
1929,The Incredible Adventures of Van Helsing,PC
1930,Rush Bros,PC
1931,Animal Crossing: New Leaf,3DS
1932,Remember Me,Xbox 360
1933,Remember Me,PC
1934,Remember Me,PlayStation 3
1935,The Last of Us,PlayStation 3
1936,Elemental: Fallen Enchantress,PC
1937,GRID 2,PlayStation 3
1938,Reus,PC
1939,7 Grand Steps,PC
1940,Gunpoint,PC
1941,The Night of the Rabbit,PC
1942,DUST 514,PlayStation 3
1943,LIMBO,PlayStation Vita
1944,State of Decay,Xbox 360
1945,Dungeons & Dragons: Chronicles of Mystara,Xbox 360
1946,Marvel Heroes,PC
1947,Kentucky Route Zero - Act II,PC
1948,Fist Puncher,PC
1949,Magrunner: Dark Pulse,PC
1950,Hotline Miami,PlayStation 3
1951,Hotline Miami,PlayStation Vita
1952,Company of Heroes 2,PC
1953,Deadpool,Xbox 360
1954,Game & Wario,Wii U
1955,New Super Mario Bros. U,Wii U
1956,Leisure Suit Larry in the Land of the Lounge Lizards,PC
1957,Wargame: AirLand Battle,PC
1958,Motorbike,PlayStation 3
1959,Scourge: Outbreak,Xbox 360
1960,Project X Zone,3DS
1961,NCAA Football 14,Xbox 360
1962,Rogue Legacy,PC
1963,The Walking Dead: A Telltale Games Series,PlayStation 3
1964,The Walking Dead: A Telltale Games Series,PlayStation 3
1965,The Walking Dead: A Telltale Games Series,Xbox 360
1966,Neverwinter,PC
1967,Sid Meier's Civilization V,PC
1968,Ride to Hell: Retribution,PC
1969,Mario & Luigi: Dream Team,3DS
1970,The Last Door: Chapter 1 - The Letter,PC
1971,Bleed,PC
1972,Shin Megami Tensei IV,3DS
1973,Mortal Kombat (2011),PC
1974,Dota 2,PC
1975,Pacific Rim,Xbox 360
1976,Guncraft,PC
1977,Time and Eternity,PlayStation 3
1978,Stealth Inc: A Clone in the Dark,PlayStation 3
1979,R.I.P.D. The Game,PC
1980,Guacamelee!,PlayStation 3
1981,The Raven: Legacy of a Master Thief,PC
1982,Guacamelee!,PlayStation Vita
1983,Cloudberry Kingdom,Xbox 360
1984,DARK,PC
1985,Pikmin 3,Wii U
1986,Shadowrun Returns,PC
1987,Dragon's Crown,PlayStation 3
1988,Dragon's Crown,PlayStation Vita
1989,Rise of the Triad,PC
1990,Warframe,PC
1991,Ibb & Obb,PlayStation 3
1992,Brothers: A Tale of Two Sons,Xbox 360
1993,Do Not Fall,PlayStation 3
1994,Disney DuckTales Remastered,PlayStation 3
1995,The Bureau: XCOM Declassified,PC
1996,The Bureau: XCOM Declassified,PlayStation 3
1997,The Bureau: XCOM Declassified,Xbox 360
1998,Divinity: Dragon Commander,PC
1999,Guacamelee!,PC
2000,Mamorukun Curse!,PlayStation 3
2001,Tom Clancy's Splinter Cell: Blacklist,Xbox 360
2002,Tom Clancy's Splinter Cell: Blacklist,PlayStation 3
2003,Cubetractor,PC
2004,"Papers, Please",PC
2005,Saints Row IV,Xbox 360
2006,Beatbuddy: Tale of the Guardians,PC
2007,Saints Row IV,PlayStation 3
2008,Tom Clancy's Splinter Cell: Blacklist,PlayStation 3
2009,Saints Row IV,PC
2010,Spelunky,PC
2011,Gone Home,PC
2012,The Wonderful 101,Wii U
2013,Killer Is Dead,PlayStation 3
2014,Charlie Murder,Xbox 360
2015,Open Me!,PlayStation Vita
2016,Dishonored,Xbox 360
2017,The Bureau: XCOM Declassified,Xbox 360
2018,Europa Universalis IV,PC
2019,The Bureau: XCOM Declassified,PlayStation 3
2020,Divekick,PlayStation Vita
2021,Divekick,PlayStation 3
2022,Divekick,PlayStation Vita
2023,Flashback,Xbox 360
2024,Disney Infinity,Xbox 360
2025,Rayman Legends,PlayStation 3
2026,Rayman Legends,Xbox 360
2027,Rayman Legends,PlayStation 4
2028,Payday 2,PlayStation 3
2029,Payday 2,Xbox 360
2030,Payday 2,PC
2031,Payday 2,PlayStation 3
2032,Payday 2,Xbox 360
2033,Madden NFL 25,PlayStation 3
2034,Madden NFL 25,Xbox 360
2035,Lost Planet 3,PC
2036,Lost Planet 3,Xbox 360
2037,Lost Planet 3,Xbox 360
2038,Lost Planet 3,PlayStation 3
2039,Lost Planet 3,PC
2040,Space Hulk,PC
2041,Tales of Xillia,PlayStation 3
2042,Spelunky,PlayStation Vita
2043,Race the Sun,PC
2044,Rayman Legends,Wii U
2045,Outlast,PC
2046,Shelter,PC
2047,Amnesia: A Machine for Pigs,PC
2048,Disney Castle of Illusion starring Mickey Mouse,Xbox 360
2049,Hatsune Miku: Project Diva f,PlayStation 3
2050,Total War: Rome II,PC
2051,Teenage Mutant Ninja Turtles: Out of the Shadows,Xbox 360
2052,Puppeteer,PlayStation 3
2053,KickBeat,PlayStation Vita
2054,Kingdom Hearts HD 1.5 ReMIX,PlayStation 3
2055,Diablo III,PlayStation 3
2056,Diablo III,Xbox 360
2057,Castlevania: Lords of Shadow,PC
2058,NHL 14,PlayStation 3
2059,NHL 14,PlayStation 3
2060,NHL 14,Xbox 360
2061,Killzone: Mercenary,PlayStation Vita
2062,SteamWorld Dig,3DS
2063,Foul Play,Xbox 360
2064,Grand Theft Auto V,PlayStation 3
2065,Arma 3,PC
2066,The Legend of Zelda: The Wind Waker,Wii U
2067,Pro Evolution Soccer 2014,Xbox 360
2068,Final Fantasy XIV Online: A Realm Reborn,PC
2069,Legend of Dungeon,PC
2070,FIFA 14,PlayStation 3
2071,Dragon Fantasy Book II,PlayStation Vita
2072,Doorways (2013),PC
2073,Marlow Briggs and the Mask of Death,PC
2074,NBA 2K14,PlayStation 3
2075,MechWarrior Online,PC
2076,Takedown: Red Sabre,PC
2077,F1 2013,PC
2078,Etrian Odyssey Untold: The Millennium Girl,3DS
2079,Rain,PlayStation 3
2080,League of Legends,PC
2081,Shadow Warrior,PC
2082,Scribblenauts Unmasked: A DC Comics Adventure,3DS
2083,Scribblenauts Unmasked: A DC Comics Adventure,Wii U
2084,Card Hunter,Online/Browser
2085,Alien Rage,PC
2086,A.R.E.S. Extinction Agenda EX,Xbox 360
2087,Armored Core: Verdict Day,Xbox 360
2088,Pokemon X / Y,3DS
2089,The Walking Dead: A Telltale Games Series,PC
2090,Beyond: Two Souls,PlayStation 3
2091,BioShock Infinite,PC
2092,Pokemon X / Y,3DS
2093,The Wolf Among Us,PC
2094,Disgaea D2: A Brighter Darkness,PlayStation 3
2095,Rise of Venice,PC
2096,Prime World,PC
2097,Rune Factory 4,3DS
2098,Disney Infinity,Xbox 360
2099,Grand Theft Auto V,PlayStation 3
2100,Grand Theft Auto V,PlayStation 3
2101,Knock-knock,PC
2102,Blue Estate,PC
2103,Full Bore,PC
2104,Sonic: Lost World,Wii U
2105,Montague's Mount,PC
2106,Skylanders Swap Force,PlayStation 3
2107,The Stanley Parable,PC
2108,Salvation Prophecy,PC
2109,Grand Theft Auto V,PlayStation 3
2110,Bionic Dues,PC
2111,Glare (2013),PC
2112,Rocksmith 2014 Edition,Xbox 360
2113,Irritum,PC
2114,The Wolf Among Us,PC
2115,Phoenix Wright: Ace Attorney - Dual Destinies,3DS
2116,Wii Party U,Wii U
2117,Deus Ex: Human Revolution - Director's Cut,Wii U
